system:time_start,LST_Day_1km
"Dec 31, 2006",
"Jan 1, 2007",23.96
"Jan 2, 2007",
"Jan 3, 2007",15.337
"Jan 4, 2007",
"Jan 5, 2007",
"Jan 6, 2007",
"Jan 7, 2007",20.931
"Jan 8, 2007",27.586
"Jan 9, 2007",
"Jan 10, 2007",
"Jan 11, 2007",17.866
"Jan 12, 2007",
"Jan 13, 2007",
"Jan 14, 2007",
"Jan 15, 2007",25.937
"Jan 16, 2007",
"Jan 17, 2007",
"Jan 18, 2007",20.212
"Jan 19, 2007",
"Jan 20, 2007",21.051
"Jan 21, 2007",
"Jan 22, 2007",26.695
"Jan 23, 2007",20.04
"Jan 24, 2007",25.301
"Jan 25, 2007",
"Jan 26, 2007",
"Jan 27, 2007",21.806
"Jan 28, 2007",
"Jan 29, 2007",24.957
"Jan 30, 2007",
"Jan 31, 2007",
"Feb 1, 2007",24.908
"Feb 2, 2007",28.536
"Feb 3, 2007",25.824
"Feb 4, 2007",27.149
"Feb 5, 2007",27.071
"Feb 6, 2007",
"Feb 7, 2007",23.481
"Feb 8, 2007",24.984
"Feb 9, 2007",23.534
"Feb 10, 2007",25.545
"Feb 11, 2007",24.987
"Feb 12, 2007",24.878
"Feb 13, 2007",
"Feb 14, 2007",25.327
"Feb 15, 2007",
"Feb 16, 2007",27.419
"Feb 17, 2007",18.947
"Feb 18, 2007",26.154
"Feb 19, 2007",
"Feb 20, 2007",25.693
"Feb 21, 2007",26.771
"Feb 22, 2007",
"Feb 23, 2007",27.171
"Feb 24, 2007",22.804
"Feb 25, 2007",25.733
"Feb 26, 2007",25.666
"Feb 27, 2007",
"Feb 28, 2007",27.242
"Mar 1, 2007",
"Mar 2, 2007",27.307
"Mar 3, 2007",
"Mar 4, 2007",
"Mar 5, 2007",
"Mar 6, 2007",
"Mar 7, 2007",
"Mar 8, 2007",
"Mar 9, 2007",
"Mar 10, 2007",
"Mar 11, 2007",26.816
"Mar 12, 2007",
"Mar 13, 2007",
"Mar 14, 2007",
"Mar 15, 2007",25.52
"Mar 16, 2007",
"Mar 17, 2007",
"Mar 18, 2007",30.879
"Mar 19, 2007",
"Mar 20, 2007",29.505
"Mar 21, 2007",
"Mar 22, 2007",
"Mar 23, 2007",23.695
"Mar 24, 2007",
"Mar 25, 2007",
"Mar 26, 2007",
"Mar 27, 2007",
"Mar 28, 2007",
"Mar 29, 2007",
"Mar 30, 2007",
"Mar 31, 2007",
"Apr 1, 2007",10.308
"Apr 2, 2007",
"Apr 3, 2007",27.464
"Apr 4, 2007",
"Apr 5, 2007",
"Apr 6, 2007",24.328
"Apr 7, 2007",
"Apr 8, 2007",
"Apr 9, 2007",
"Apr 10, 2007",
"Apr 11, 2007",
"Apr 12, 2007",26.192
"Apr 13, 2007",
"Apr 14, 2007",
"Apr 15, 2007",27.379
"Apr 16, 2007",
"Apr 17, 2007",
"Apr 18, 2007",
"Apr 19, 2007",29.39
"Apr 20, 2007",
"Apr 21, 2007",
"Apr 22, 2007",
"Apr 23, 2007",
"Apr 24, 2007",19.117
"Apr 25, 2007",
"Apr 26, 2007",
"Apr 27, 2007",
"Apr 28, 2007",25.662
"Apr 29, 2007",
"Apr 30, 2007",22.815
"May 1, 2007",
"May 2, 2007",
"May 3, 2007",
"May 4, 2007",
"May 5, 2007",28.132
"May 6, 2007",
"May 7, 2007",
"May 8, 2007",13.887
"May 9, 2007",
"May 10, 2007",
"May 11, 2007",26.752
"May 12, 2007",
"May 13, 2007",
"May 14, 2007",27.205
"May 15, 2007",24.395
"May 16, 2007",
"May 17, 2007",24.932
"May 18, 2007",
"May 19, 2007",
"May 20, 2007",
"May 21, 2007",
"May 22, 2007",
"May 23, 2007",25.842
"May 24, 2007",21.389
"May 25, 2007",
"May 26, 2007",
"May 27, 2007",
"May 28, 2007",29.236
"May 29, 2007",
"May 30, 2007",
"May 31, 2007",
"Jun 1, 2007",19.986
"Jun 2, 2007",
"Jun 3, 2007",
"Jun 4, 2007",30.472
"Jun 5, 2007",
"Jun 6, 2007",24.136
"Jun 7, 2007",
"Jun 8, 2007",23.09
"Jun 9, 2007",18.648
"Jun 10, 2007",
"Jun 11, 2007",23.797
"Jun 12, 2007",14.116
"Jun 13, 2007",25.596
"Jun 14, 2007",
"Jun 15, 2007",25.124
"Jun 16, 2007",
"Jun 17, 2007",26.274
"Jun 18, 2007",
"Jun 19, 2007",20.725
"Jun 20, 2007",
"Jun 21, 2007",
"Jun 22, 2007",23.494
"Jun 23, 2007",
"Jun 24, 2007",22.565
"Jun 25, 2007",16.68
"Jun 26, 2007",24.45
"Jun 27, 2007",23.485
"Jun 28, 2007",24.319
"Jun 29, 2007",
"Jun 30, 2007",
"Jul 1, 2007",23.759
"Jul 2, 2007",22.688
"Jul 3, 2007",24.778
"Jul 4, 2007",
"Jul 5, 2007",27.28
"Jul 6, 2007",24.824
"Jul 7, 2007",
"Jul 8, 2007",25.131
"Jul 9, 2007",
"Jul 10, 2007",22.639
"Jul 11, 2007",19.715
"Jul 12, 2007",26.369
"Jul 13, 2007",17.66
"Jul 14, 2007",
"Jul 15, 2007",
"Jul 16, 2007",
"Jul 17, 2007",24.587
"Jul 18, 2007",
"Jul 19, 2007",22.401
"Jul 20, 2007",16.424
"Jul 21, 2007",
"Jul 22, 2007",
"Jul 23, 2007",
"Jul 24, 2007",
"Jul 25, 2007",
"Jul 26, 2007",24.718
"Jul 27, 2007",22.679
"Jul 28, 2007",23.329
"Jul 29, 2007",24.212
"Jul 30, 2007",15.312
"Jul 31, 2007",23.902
"Aug 1, 2007",
"Aug 2, 2007",27.104
"Aug 3, 2007",
"Aug 4, 2007",
"Aug 5, 2007",21.078
"Aug 6, 2007",
"Aug 7, 2007",
"Aug 8, 2007",
"Aug 9, 2007",
"Aug 10, 2007",
"Aug 11, 2007",
"Aug 12, 2007",18.043
"Aug 13, 2007",
"Aug 14, 2007",
"Aug 15, 2007",
"Aug 16, 2007",24.711
"Aug 17, 2007",
"Aug 18, 2007",27.39
"Aug 19, 2007",
"Aug 20, 2007",
"Aug 21, 2007",
"Aug 22, 2007",24.872
"Aug 23, 2007",22.523
"Aug 24, 2007",
"Aug 25, 2007",
"Aug 26, 2007",
"Aug 27, 2007",20.927
"Aug 28, 2007",23.744
"Aug 29, 2007",
"Aug 30, 2007",24.178
"Aug 31, 2007",
"Sep 1, 2007",
"Sep 2, 2007",
"Sep 3, 2007",27.502
"Sep 4, 2007",22.029
"Sep 5, 2007",25.353
"Sep 6, 2007",23.164
"Sep 7, 2007",24.666
"Sep 8, 2007",23.29
"Sep 9, 2007",
"Sep 10, 2007",27.016
"Sep 11, 2007",
"Sep 12, 2007",23.808
"Sep 13, 2007",
"Sep 14, 2007",26.557
"Sep 15, 2007",
"Sep 16, 2007",
"Sep 17, 2007",23.429
"Sep 18, 2007",
"Sep 19, 2007",
"Sep 20, 2007",22.411
"Sep 21, 2007",24.695
"Sep 22, 2007",24.793
"Sep 23, 2007",
"Sep 24, 2007",
"Sep 25, 2007",
"Sep 26, 2007",27.816
"Sep 27, 2007",
"Sep 28, 2007",26.333
"Sep 29, 2007",
"Sep 30, 2007",29.01
"Oct 1, 2007",
"Oct 2, 2007",26.552
"Oct 3, 2007",27.206
"Oct 4, 2007",
"Oct 5, 2007",25.026
