,cases_medellin,DATA,YEAR,YearWeek,LastDayWeek,MONTH,temperature,percipitation_medellin,percipitation_medellin_rural,percipitation_medellin_urbano
0,1,"['2007', 'w01']",2007,200701,2007-01-06,1,19.615357142857142,10.40042309631521,11.93265974786547,9.624379503180128
1,0,"['2007', 'w02']",2007,200702,2007-01-13,1,22.234,19.51061511416264,20.18247632289278,19.15314160180748
2,0,"['2007', 'w03']",2007,200703,2007-01-20,1,22.26885714285714,2.036513927234401,0.8256070611557523,2.551440747943493
3,0,"['2007', 'w04']",2007,200704,2007-01-27,1,23.546,19.40549132316382,21.61696791441544,18.43928354770765
4,0,"['2007', 'w05']",2007,200705,2007-02-03,2,25.35307142857143,0.0,0.0,0.0
5,0,"['2007', 'w06']",2007,200706,2007-02-10,2,25.291428571428565,7.634523419888051,8.383091279734735,7.313470963163113
6,0,"['2007', 'w07']",2007,200707,2007-02-17,2,24.71907142857143,8.2071019524799,7.261785463895199,8.644309590059684
7,0,"['2007', 'w08']",2007,200708,2007-02-24,2,25.926785714285714,1.479337163914327,0.005340154159472184,2.143361165982868
8,0,"['2007', 'w09']",2007,200709,2007-03-03,3,26.676857142857138,6.803458196184564,8.832785040629659,5.961875404567893
9,0,"['2007', 'w10']",2007,200710,2007-03-10,3,27.0615,31.9934662719806,33.24117832275981,31.40581268334607
10,0,"['2007', 'w11']",2007,200711,2007-03-17,3,26.74842857142857,25.943626284524,24.93764769374461,26.40117536816028
11,0,"['2007', 'w12']",2007,200712,2007-03-24,3,26.353214285714284,43.86532373723544,47.21030997746232,42.14531521359715
12,0,"['2007', 'w13']",2007,200713,2007-03-31,3,17.001499999999997,52.26168767869736,53.00675253384355,52.06591475064602
13,1,"['2007', 'w14']",2007,200714,2007-04-07,4,22.576857142857147,78.51978283183001,84.02253083537742,75.84297351880905
14,0,"['2007', 'w15']",2007,200715,2007-04-14,4,25.829,60.45115579093322,60.83910733789639,60.18255364162112
15,0,"['2007', 'w16']",2007,200716,2007-04-21,4,27.204214285714286,43.62406708926094,41.15098804805589,45.13783366034883
16,0,"['2007', 'w17']",2007,200717,2007-04-28,4,22.922071428571428,59.5167934822268,57.89876333089268,60.28442215897621
17,1,"['2007', 'w18']",2007,200718,2007-05-05,5,25.297071428571428,47.08452092599657,46.64626452312378,47.36417826425045
18,0,"['2007', 'w19']",2007,200719,2007-05-12,5,21.467928571428565,57.39819954590787,56.97473999175473,57.60616547962941
