"","Elevation","COD_DPTO","NOM_DPTO","COD_MPIO","NOM_MPIO","TIPO","LATITUD","LONGITUD"
"1",1650,5,"ANTIOQUIA",5001,"MEDELLIN","Municipio",6.257590259,-75.61103107
"2",2150,5,"ANTIOQUIA",5002,"ABEJORRAL","Municipio",5.803728154,-75.43847353
"3",2162,5,"ANTIOQUIA",5004,"ABRIAQUI","Municipio",6.627569378,-76.08597756
"4",1612,5,"ANTIOQUIA",5021,"ALEJANDRIA","Municipio",6.365534125,-75.09059702
"5",1537,5,"ANTIOQUIA",5030,"AMAGA","Municipio",6.032921994,-75.7080031
"6",1351,5,"ANTIOQUIA",5031,"AMALFI","Municipio",6.977788843,-74.9812393
"7",2000,5,"ANTIOQUIA",5034,"ANDES","Municipio",5.604993248,-75.94128391
"8",1685,5,"ANTIOQUIA",5036,"ANGELOPOLIS","Municipio",6.121430303,-75.71594966
"9",2002,5,"ANTIOQUIA",5038,"ANGOSTURA","Municipio",6.861498764,-75.358316
"10",1104,5,"ANTIOQUIA",5040,"ANORI","Municipio",7.193110778,-75.10848954
"11",1387,5,"ANTIOQUIA",5042,"SANTA FE DE ANTIOQUIA","Municipio",6.535711576,-75.90426658
"12",1782,5,"ANTIOQUIA",5044,"ANZA","Municipio",6.293546613,-75.91736927
"13",213,5,"ANTIOQUIA",5045,"APARTADO","Municipio",7.86047815,-76.58236264
"14",49,5,"ANTIOQUIA",5051,"ARBOLETES","Municipio",8.611395262,-76.41478317
"15",930,5,"ANTIOQUIA",5055,"ARGELIA","Municipio",5.708114524,-75.09469795
"16",1174,5,"ANTIOQUIA",5059,"ARMENIA","Municipio",6.163683758,-75.80995528
"17",1517,5,"ANTIOQUIA",5079,"BARBOSA","Municipio",6.443417935,-75.32924085
"18",2883,5,"ANTIOQUIA",5086,"BELMIRA","Municipio",6.665853953,-75.68621659
"19",2340,5,"ANTIOQUIA",5088,"BELLO","Municipio",6.358841086,-75.58973588
"20",1506,5,"ANTIOQUIA",5091,"BETANIA","Municipio",5.727081285,-75.98689107
"21",1297,5,"ANTIOQUIA",5093,"BETULIA","Municipio",6.185783612,-75.95649246
"22",1389,5,"ANTIOQUIA",5101,"CIUDAD BOLIVAR","Municipio",5.840995666,-76.01065253
"23",1501,5,"ANTIOQUIA",5107,"BRICENO","Municipio",7.111788462,-75.56223474
"24",1432,5,"ANTIOQUIA",5113,"BURITICA","Municipio",6.80906489,-75.91206595
"25",116,5,"ANTIOQUIA",5120,"CACERES","Municipio",7.665155105,-75.22369744
"26",2063,5,"ANTIOQUIA",5125,"CAICEDO","Municipio",6.423463639,-75.99351498
"27",1911,5,"ANTIOQUIA",5129,"CALDAS","Municipio",6.054446841,-75.62642674
"28",1200,5,"ANTIOQUIA",5134,"CAMPAMENTO","Municipio",7.036017478,-75.28766178
"29",1770,5,"ANTIOQUIA",5138,"CANASGORDAS","Municipio",6.814950023,-76.02689632
"30",658,5,"ANTIOQUIA",5142,"CARACOLI","Municipio",6.33797388,-74.73354817
"31",2198,5,"ANTIOQUIA",5145,"CARAMANTA","Municipio",5.555275296,-75.63082096
"32",50,5,"ANTIOQUIA",5147,"CAREPA","Municipio",7.757967437,-76.64374657
"33",2477,5,"ANTIOQUIA",5148,"EL CARMEN DE VIBORAL","Municipio",5.978078841,-75.2635361
"34",2049,5,"ANTIOQUIA",5150,"CAROLINA","Municipio",6.754821442,-75.30590654
"35",62,5,"ANTIOQUIA",5154,"CAUCASIA","Municipio",7.867941792,-75.03501824
